"REGIAO","ANO","INDICADOR_001","INDICADOR_002","INDICADOR_004","INDICADOR_007","INDICADOR_009","INDICADOR_020","INDICADOR_021","INDICADOR_035","INDICADOR_041","INDICADOR_114","INDICADOR_105","INDICADOR_106","INDICADOR_111","INDICADOR_110","INDICADOR_109","INDICADOR_107","INDICADOR_112","INDICADOR_108","INDICADOR_113","INDICADOR_103","INDICADOR_102","INDICADOR_101"
"Itaporanga",2011,100,37.93,100,0.28,0.8,41.3,50.94,25,0,0.399306146,4.19764345492732,0.448257605215599,0.020223875255,0.000710496604,0.135278424657799,1801638.36,0,12810.95,1168052.115,0.2182983937636,941.517054124776,284.934107227582
"Itaporanga",2012,100,35.14,100,0.31,1.21,NA,NA,0,28.57,0.3022900167,3.43169398726226,0.603895161100886,0.02040148276,0.011850424675,0.0819034712308515,2083798.24,0,72680.51,1386849.435,0.230578457860514,1051.32181403309,386.172015588465
"João Pessoa",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47927411365,3.5869090606361,0.535007856237802,0.029236037035,0.007499921911,0.00700758982924264,5347319.355,0.131899155125,5139907.89,12321052.71,0.24979489322006,10545.9679293439,3062.08955968383
"João Pessoa",2008,99.095,37.93,100,0.195,1.485,53.505,41.495,58.335,14.29,0.4818871065,4.07026179624041,0.513411361303723,0.02414569461,0.003333322562,0.00801814306080305,6007193.195,0.18789528494,5812774.51,14697857.215,0.236405498199261,13587.1114920468,3811.05588057216
"João Pessoa",2009,100,34.295,100,0.27,1.525,49.355,44.41,75,14.29,0.4075796131,3.65798987814325,0.283281227380847,0.021333043365,0.004584072336,0.0112042320536142,5760934.705,0.14942866228,9250515.19,17250393.145,0.245804803439083,14502.3733915696,4186.29163677222
"João Pessoa",2010,100,32.365,100,0.43,1.58,48.545,47.43,66.67,57.145,0.46145817465,3.60159892609381,0.356589008878381,0.016422713005,0.003551799941,0.0197859328172988,8362668.68,0.12119758603,10317166.465,14999755.745,0.267058702446679,17108.9523293293,5274.38019885214
"João Pessoa",2011,100,29.8,100,0.89,1.93,46.555,52.005,62.5,64.285,0.4635524267,3.58116217963896,0.397430942386857,0.02324521856,0.008027952072,0.0137249521726484,7814649.565,0.114782573565,14588893.055,16750229.05,0.262284475659015,18367.6024522957,5468.47185794539
"João Pessoa",2012,99.06,27.205,100,0.985,2.66,NA,NA,43.75,57.14,0.4779795671,3.7572034825573,0.373317854837687,0.02254178872,0.005084672351,0.0120399824973031,9749376.295,0.063577531625,15989402.55,18483062.34,0.254699900642459,20859.4885008841,6250.50278861529
"Litoral Norte",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6211725227,4.14195514724742,0.408449366060327,0.01127540021,0.008972971493,0.0156835291541535,2189578.93,0,158641.11,1435275.625,0.218349812039727,1773.01783284742,476.541814058957
"Litoral Norte",2008,100,46,100,0.14,0.79,67.71,49.44,83.33,0,0.49551743035,4.01595201443779,0.454668385830155,0.010808406085,0.007672587597,0.0135324109506705,2601335.99,0,45000,1612001.225,0.223240315765063,1820.79673247496,445.509467811159
"Litoral Norte",2009,100,39.14,100,0.21,0.79,62.86,48.05,83.33,0,0.45209457875,4.21662152880402,0.332010342001705,0.00794471917,0.004410238767,NA,2434881.31,0,92891.61,1561512.1,0.230163249865403,2019.11293079294,515.348669094985
"Litoral Norte",2010,100,43.17,100,0.28,0.96,59.41,54.71,50,0,0.4783818956,4.04778082598009,0.351207717340751,0.01008866877,0.009199937821,NA,2785987.29,0,214600.835,2215103.05,0.209567534938475,2319.21246172688,587.388557868953
"Litoral Norte",2011,100,36.93,100,0.79,1.3,56.87,51.25,75,0,0.4490575535,4.35765168352252,0.380300849306213,0.00992181909,0.009313340144,0.014685378520423,3165601.26,0,204300,2322757.42,0.223572697496056,2647.12950650923,633.642870118074
"Litoral Norte",2012,100,25.64,100,0.67,1.66,NA,NA,37.5,0,0.4044443588,4.39478614272254,0.518434386490268,0.01170868074,0.009116129025,0.0147503968365383,2848114.4,0,238804.73,1819092.325,0.203532488324968,2760.46562612343,840.249126952343
"Litoral Sul",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4570120221,4.16192579490713,0.419272218361647,0.004786609005,0.005469305598,NA,4436403.9,0,729973.99,2476644.02,0.216513237757603,835.523188738127,199.6126863956
"Litoral Sul",2008,100,45.49,100,0.11,1.07,62.89,44.835,33.33,0,0.0337809227,4.0724040467075,0.415684846783073,0.01334606452,0.002336193752,0.00128506519141125,5732040.305,0,1935244.96,3011213.305,0.219071254892868,1000.75956756831,250.292455614726
"Litoral Sul",2009,100,37.675,100,0.215,1.065,59.63,45.695,58.335,0,0.1644159524,22834118611541.7,0.288673024209256,0.00071633602,0.000716336021,NA,5297406.89,0,320692.14,3097180.345,0.194702382156873,1086.26628217528,234.858772987467
"Litoral Sul",2010,100,36.505,100,0.3,1.33,57.425,54.22,83.33,0,0.36766874835,4.44835120757867,0.421798960496158,0.00264187074,0.001373383927,0.00038535747498876,5759228.86,0,745773.81,3591157.86,0.206371850037073,1259.13324285588,283.547628255424
"Litoral Sul",2011,100,41.765,100,0.785,1.685,54.505,57.12,37.5,35.715,0.3558404767,4.63722402054897,0.465490291917396,0.02210094037,0.001053471477,0.000174912030836411,6877764.56,0,1157717.85,3984815.11,0.199821262268608,1521.99663637347,325.776712444463
"Litoral Sul",2012,100,37.015,100,0.595,1.79,NA,NA,18.75,78.57,0.3741239511,4.13085164037826,0.585388896712663,0.007500796995,0.004926104148,NA,9616060.245,0,1329335.1,4864434.84,0.211965387714806,1814.21350451221,420.70644125093
"Mata Paraibana",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6122048612,4.076367323771,0.360195883454501,0.01338203639,0.008622689694,0.00939696545689807,2234875.885,0,170958.28,1671420.865,0.221842741639372,1543.58825311275,382.082568912371
"Mata Paraibana",2008,100,46.505,100,0.14,1.015,61.15,45.435,66.67,0,0.48107790035,4.05141798322592,0.493852707608386,0.013559537505,0.005054698407,0.00801814306080305,2768389.23,0,256067.95,1880533.19,0.220108948937836,1658.07879960486,394.861636190491
"Mata Paraibana",2009,100,40.45,100,0.23,1.095,60.36,45.79,75,0,0.44435554635,4.1913542083075,0.332752512329211,0.00987504415,0.0044639107015,0.0112042320536142,2861864.265,0,427818.255,2134314.4,0.217103988686708,1833.23005256061,429.765661428939
"Mata Paraibana",2010,100,42.555,100,0.33,1.285,56.015,50.17,66.67,0,0.4720717874,4.20024228285584,0.357579380493825,0.00767479629,0.0044054199695,0.0145594306865781,3129189.855,0,2184232.63,2351774.57,0.212555662671555,2320.02088166547,502.237565620066
"Mata Paraibana",2011,100,39.205,100,0.805,1.46,56.035,50.945,62.5,50,0.42406825265,4.29840004063604,0.38508273185564,0.01375510598,0.006324321188,0.0137249521726484,3548251.105,0,1246606.54,2746669.495,0.216756201123745,2654.18940443276,568.776133521315
"Mata Paraibana",2012,100,28.18,100,0.72,1.915,NA,NA,37.5,50,0.41879986905,4.19892946334117,0.487220719820397,0.01089208529,0.006869036381,0.0133951896669207,4068553.615,0,1329335.1,2702534.265,0.216018438362967,2926.63529293236,721.698295819084
"Paraíba",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6298407826,3.95352325222755,0.388708302281994,0.01605014861,0.014206339021,0.0196686626741742,1245878.77,0,689151.54,851025.21,0.23217867880999,934.034733403583,240.456766456583
"Paraíba",2008,100,43.48,100,0.12,0.82,59.31,47.83,66.67,0,0.5682658972,3.91726013554877,0.459204146727234,0.01489803998,0.012486532055,0.0275933503635927,1489066.645,0,878122.57,978719.04,0.229750102806211,1057.12378775728,277.363374547173
"Paraíba",2009,100,40.52,100,0.16,0.87,56.67,51.85,66.67,0,0.4726470575,4.15527582939059,0.31298129796302,0.01436305418,0.0109362830475,0.0195824440898768,1612247.83,0,847586.18,1197909.14,0.224144950781129,1205.9034509484,291.202100133767
"Paraíba",2010,100,41.82,100,0.19,0.99,53.19,58.12,66.67,0,0.406799325,4.08257311395966,0.403176597072451,0.016161485575,0.0118403808155,0.0195172059653799,1733833.48,0,1005451.16,1298492.805,0.223481547280632,1308.46569620253,333.015701903315
"Paraíba",2011,100,36.84,100,0.32,1.19,50.57,60.78,50,28.57,0.35830998055,4.08388911594274,0.441017323810531,0.015874186165,0.012854612372,0.0242330013214135,1990941.72,0,1001602.01,1467457.895,0.224562351787396,1511.37079934747,382.690953581492
"Paraíba",2012,100,34.26,100,0.39,1.47,NA,NA,12.5,42.86,0.304324858,3.86250721964245,0.540318140633324,0.015749176835,0.011575522639,0.0181535386123313,2282605.52,0,1137214.715,1736350.52,0.229276053025252,1701.5606937799,466.003432937956
"Patos",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56621454965,3.93930609224491,0.495383565026054,0.015383805215,0.0153838052145,0.0849670548489261,1201258.36,0,48875.24,526920.815,0.233471501323671,1109.11440629096,276.821768732655
"Patos",2008,100,39.84,100,0.06,0.63,57.69,50,0,0,0.5575980974,4.10318438219732,0.804537808553228,0.01643894972,0.016438949718,0.010139428801789,1290355.9,0,72451.81,549820.63,0.212578036881996,952.632226441146,227.510165688643
"Patos",2009,100,34.48,100,0.15,1,55.07,53.13,50,0,0.18211636135,4.67758172843877,0.388799856945889,0.008469669905,0.004163745185,0.0171444904320783,1249358.42,0,64352.405,830271.74,0.209779175548142,1121.18851966874,233.830056935818
"Patos",2010,100,31.34,100,0.09,0.85,60,62.07,33.33,0,0.13180246805,4.47097831530557,0.464521149240613,0.02445118047,0.0123517428735,0.0468505114303232,1271819.12,0,178279.37,774794.27,0.21860341983361,1214.031804739,313.612358809906
"Patos",2011,100,27.93,100,0.11,0.98,48.28,63.89,37.5,0,0.14138141215,4.02251838244671,0.49047646826268,0.039022127145,0.0271544136045,0.0116927046582937,1422532.54,0,117292.61,810974.405,0.212932810159161,1341.12326556091,346.356893169253
"Patos",2012,100,30.43,100,0.11,0.91,NA,NA,0,0,0.1477469921,3.66424421625752,0.701423498206938,0.0326229492,0.029056734989,0.0622985720293604,1924916.11,0,109869.98,1088895.38,0.252079956960409,1617.49934487683,452.970544894575
"Piancó",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41703931045,3.42057284955608,0.323443520788787,0.02188941351,0.0218894135075,0.102108474617257,1435227.245,0,674239.06,700409.44,0.265545512270034,1084.81567941798,325.7594310383
"Piancó",2008,100,50.53,100,0.05,0.55,59.09,48.48,66.67,0,0.4017493975,3.73530305406418,0.397388754923875,0.022522429425,0.0155241718355,0.0835815466031714,1636252.37,0,704000.875,1009829.85,0.239523327028263,1049.31782427547,308.893344490934
"Piancó",2009,100,43.26,100,0.06,0.46,57.73,48.05,66.67,0,0.3936269853,3.85719529729559,0.26685305896129,0.01301921246,0.013019212456,0.0411330479572833,1905027.11,0,1037619.225,1256833.63,0.24570303801926,1222.39209342561,331.645600624025
"Piancó",2010,100,46.15,100,0.07,0.65,50,52.44,33.33,0,0.45905862435,3.51857017643059,0.392573585387482,0.02182323042,0.013860394443,0.00760699817932652,2055410.75,0,999263.58,1086802.285,0.255261782517091,1403.71147439505,463.867013296966
"Piancó",2011,100,33.93,100,0.16,0.71,48.11,59.34,37.5,42.86,0.2703231701,3.25693851253627,0.28113645784073,0.02136942622,0.021369426216,0.00418646138452761,2346495.42,0,110968.22,1383912.01,0.285846828577127,1533.05197211155,535.090201090661
"Piancó",2012,100,35.96,100,0.29,0.77,NA,NA,0,57.14,0.2535459211,3.49953987605889,0.521789211202079,0.01845471787,0.015154199468,0.0262520556608323,2685920.42,0,470218.29,1453971.24,0.261609050772229,1741.73841494378,605.85
"Sapé",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6735022011,4.09752579229656,0.327818876344308,0.01651575454,0.007233834238,NA,1713089.95,0,216367.46,1110801.175,0.225335671239017,719.201004357751,214.692745277829
"Sapé",2008,100,50.56,100,0.14,1.13,59.42,41.18,83.33,0,0.53039849505,4.10511738320887,0.497148422285227,0.01440305372,0.005389230606,NA,2073870.97,0,636513.065,1011841.12,0.206885241688061,766.583627021884,209.759275927688
"Sapé",2009,100,48.63,100,0.23,1.16,53.15,45.28,66.67,0,0.5127088807,4.16608688781098,0.438722445982308,0.0134092524,0.012731135677,NA,1916835.12,0,871259.32,1219683.795,0.200768907687066,920.690405687204,258.232707676578
"Sapé",2010,100,46.55,100,0.33,1.36,55.19,40,66.67,0,0.465535405,4.43505983609521,0.394206034739243,0.00120876825,0.00547527599,0.053905942031694,2532272.11,0,1597935.685,1222541.74,0.211948913476316,1151.72817263873,333.015701903315
"Sapé",2011,100,41.96,100,0.99,1.46,56.1,49.2,75,57.14,0.1360492518,4.09337592669145,0.379551083894894,0.01422972569,0.003060022932,NA,2788595.63,0,1246606.54,1351264.36,0.21375888292921,1456.15521665779,389.089989344699
"Sapé",2012,100,35.93,100,0.71,1.97,NA,NA,37.5,57.14,0.1584068787,4.05319297415588,0.551368951481256,0.01165255299,0.006869036381,NA,3388831.88,0,889568.125,1415273.545,0.21717592599466,1506.93462779536,445.421862554886
"Seridó Ocidental Paraibano",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48895653125,3.97467363197175,0.444773725039665,0.013103976835,0.0069213700875,NA,1427091.105,0,470759.87,863479.925,0.222530021856417,722.775840256317,194.959422108016
"Seridó Ocidental Paraibano",2008,100,40.7,100,0.355,1.05,68.57,70.74,16.67,0,0.24066623625,4.25629223622322,0.610454043183253,0.02544818104,0.02544818104,NA,1557284.28,0,134236.01,949321.325,0.229480599606962,833.305642243613,218.450622134695
"Seridó Ocidental Paraibano",2009,100,39.68,100,0.1,1.175,58.99,72.165,66.67,0,0.10082541,4.34645061020024,0.196050475109826,0.018782740745,0.0187827407465,NA,1617355.325,0,93288.6,1015597.58,0.218817426013825,847.779751125708,210.534599343797
"Seridó Ocidental Paraibano",2010,100,41.52,100,0.13,1.06,55.44,71.3,50,0,0.4230629418,4.48073885473458,0.465236582564074,0.03866729985,0.026621968114,NA,1842480.075,0,54046.43,1197127.575,0.230080500428998,948.246136783093,251.587404883527
"Seridó Ocidental Paraibano",2011,100,32.12,100,0.215,1.435,50.76,70.835,31.25,14.285,0.4375207027,4.21975589572929,0.459358548582899,0.02415670341,0.020942440703,0.192594972217203,2017947.52,0,110708.46,1510498.56,0.215091376771154,1130.90386471716,268.994532516988
"Seridó Ocidental Paraibano",2012,100,29.725,100,0.23,1.755,NA,NA,12.5,35.715,0.25913364745,3.84595502677014,0.631052463826145,0.01447935214,0.012881139145,0.327508380108043,2219078.685,0,679756,1620918.86,0.236004733837161,1154.69400026932,292.257164932406
"Seridó Oriental Paraibano",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4663604861,3.80097098470294,0.416702490683687,0.01176655253,0.011477266073,0.0145404978229757,1188051.235,0,684022.9,924052.13,0.237113996311751,560.0978528728,165.162501660578
"Seridó Oriental Paraibano",2008,100,51.4,100,0.07,0.54,75.86,70.69,83.33,0,0.40911826345,3.7040335848289,0.407779248107565,0.012240807305,0.00719986852,0.0215450181899397,1480697.49,0,956049.93,933553.265,0.248277593840142,633.544489891867,183.584818210312
"Seridó Oriental Paraibano",2009,100,45.24,100,0.07,0.56,72.81,73.68,83.33,0,0.391246121,3.84985372091436,0.336422000804256,0.009429751125,0.009429751127,0.0160648931253938,1587052.435,0,920166.67,1024304.04,0.238780737006277,740.978585693112,196.143817770497
"Seridó Oriental Paraibano",2010,100,44.28,100,0.2,0.63,64.31,81.22,66.67,0,0.35881641005,4.01894257563237,0.397477322677862,0.01246102119,0.0108732249245,0.019248479113461,1592140.915,0,888776.135,1122441.5,0.22115473289061,827.637945733446,206.224843135743
"Seridó Oriental Paraibano",2011,100,40.87,100,0.18,0.95,57.78,78.85,62.5,42.86,0.29770317525,4.16671679722128,0.501139544963597,0.01112875754,0.011128757542,0.0185431592822176,1697747.08,0,1361887.3,1127431.78,0.230612056297251,982.474312778033,257.090307490528
"Seridó Oriental Paraibano",2012,100,34.11,100,0.42,1.21,NA,NA,25,42.86,0.25347756155,3.73783437767374,0.540787088043162,0.00645077478,0.006450774781,0.0183284806234832,1827007.9,0,1483893.56,1354906.93,0.23557807452197,1102.80584764522,313.047268981754
"Serra do Teixeira",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6336816133,3.44188831749603,0.359663642759527,0.015132140185,0.014646223148,0.375604118142332,1756547.54,0,1130822.35,1157889.88,0.262431572740274,731.739359372446,207.52356137057
"Serra do Teixeira",2008,100,60.78,100,0.08,0.62,60.36,37.1,66.67,0,0.6006634438,3.44284493997802,0.497002096326034,0.012347066315,0.0114344573065,NA,1902029.86,0,117039.5,1322245.05,0.236537071919067,838.373428300095,245.244145335609
"Serra do Teixeira",2009,100,52.82,100,0.13,0.68,55.74,46.1,83.33,0,0.4247910852,3.90273750043961,0.405430799234401,0.01509298257,0.012970546621,0.00815925876515458,1978661.55,0,470070.42,1658601.395,0.22676879888141,969.879175159872,252.950667014614
"Serra do Teixeira",2010,100,40.58,100,0.14,0.8,51.63,49.56,83.33,0,0.29370027585,3.84841188757007,0.489361378375703,0.01587411659,0.008883531793,0.0566791899849872,2335960.87,0,664175.7,1541857.02,0.234859534798252,1085.89868875013,282.16800084665
"Serra do Teixeira",2011,100,42.23,100,0.15,0.84,44.92,59.4,87.5,0,0.2579709483,3.98245165510118,0.330310233494306,0.02078792254,0.011915286042,3.11294054354192e-05,2492803.59,0,829148.25,1751357.115,0.224232899447564,1174.07013113722,287.913133655057
"Serra do Teixeira",2012,100,54.32,100,0.15,1.14,NA,NA,12.5,28.57,0.2716401418,3.62825578543135,0.61340455184679,0.018229578285,0.017049395312,0.00323923197005752,2851300.68,0,353776.99,1975245.58,0.231368750204775,1275.04355908584,408.313369982102
"Sertão Paraibano",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6067016838,3.86582900135108,0.476162758095395,0.01703739516,0.0158526138555,0.100280820492027,1245878.77,0,578005.62,720685.585,0.23706996453862,917.770408866995,250.598336188844
"Sertão Paraibano",2008,100,47.765,100,0.05,0.665,49.095,44.78,66.67,0,0.5980162441,3.88856560199377,0.481939440017133,0.01387330114,0.011715517141,0.0237112445556418,1459251.41,0,387434.84,803287.49,0.227157568497257,1016.34517248295,263.717999023914
"Sertão Paraibano",2009,100,43.94,100,0.065,0.755,45.66,44.255,66.67,0,0.4768349494,4.11568496799822,0.335168027011088,0.01576864443,0.012775594624,0.0206266665916776,1496066.4,0,786039.475,1055179.13,0.223756830679388,1110.92232774674,282.762095162986
"Sertão Paraibano",2010,100,43.935,100,0.09,0.865,39.85,53.91,50,0,0.33684968475,3.86687938613846,0.47392506087353,0.02067446773,0.015591263153,0.0201773485178335,1672226.82,0,999263.58,1066893.32,0.227137107145006,1214.031804739,331.03318773085
"Sertão Paraibano",2011,100,39.015,100,0.15,1.025,39.85,60.655,37.5,0,0.2864427008,3.98245165510118,0.484840983275701,0.024717372755,0.0141356973125,0.0418140093600354,1788342.085,0,463602.48,1380777.08,0.227764099388831,1414.93839114833,373.021779141104
"Sertão Paraibano",2012,100,37.42,100,0.2,1.16,NA,NA,0,28.57,0.2657385446,3.67696107954059,0.603895161100886,0.02373526349,0.015263292913,0.0717035107991988,2222644.33,0,453076.425,1529218.47,0.241924413669782,1664.91329422222,469.453089471083
"Sousa",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7211128286,4.07803942346414,0.463450005017536,0.0137843771,0.010642694865,0.347760921373047,1045134.48,0,352457.6,701090.03,0.220989386285628,858.025428363106,193.331573775773
"Sousa",2008,100,42.5,100,0.04,0.76,38.7,47.5,100,0,0.70110014905,4.10925228772877,0.477547320249153,0.008576553025,0.006779342414,0.038324787139854,1320521.76,0,551202.13,759410.49,0.218688210127584,1122.25949677419,262.99108871851
"Sousa",2009,100,40.35,100,0.07,0.88,35.77,51.35,66.67,0,0.6518654642,4.45136504579964,0.274251292555333,0.01804210331,0.008417436048,NA,1257619.94,0,256416.05,1055179.13,0.212362933232053,1210.10690658499,251.750765696784
"Sousa",2010,100,48.65,100,0.07,1.07,31.41,72.73,16.67,0,0.3433260171,4.13649990231004,0.403176597072451,0.0211291632,0.012775708533,0.131100849720324,1451620.91,0,1296527.16,902962.17,0.22274359266715,1369.83475598527,322.503237936772
"Sousa",2011,100,39.9,100,0.11,1.47,25.32,66.67,50,28.57,0.2645278488,4.39483208041825,0.606697537673114,0.018726180835,0.0145492615205,0.0418140093600354,1669051.25,0,1032219.955,1103698.79,0.191767915406591,1603.46298914299,373.021779141104
"Sousa",2012,100,31.58,100,0.21,1.69,NA,NA,0,57.14,0.264385031,3.86250721964245,0.681411951796966,0.02392852339,0.009266740507,0.156300491952601,1939764.44,0,461480.575,1341227.01,0.219563850834304,1719.12669554876,509.890088345226
"Umbuzeiro",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766192778,3.97355437993613,0.402244919246307,0.014326307645,0.011972139088,0.0357889052064129,933515.22,0,822140.895,948191.27,0.228529676895108,2639.35817716535,602.946696850394
"Umbuzeiro",2008,100,40.2,92.05,0.15,0.85,72.94,40.46,66.67,0,0.704512418,3.77552016371099,0.235645613876742,0.0080451833,0.012188724897,0.0428182413389884,1292032.77,0,1226405.78,1506071.97,0.249102190317319,2551.3017639387,592.644391913922
"Umbuzeiro",2009,100,35.29,100,0.16,0.93,72.09,49.83,66.67,0,0.6833125501,4.23959761713934,0.256073437069433,0.018329171125,0.0202390341905,0.0248583161265319,1226770.62,0,1011369.62,1756970.84,0.235445175961571,2870.66496770026,640.082009043928
"Umbuzeiro",2010,100,29.83,100,0.18,0.96,61.17,54.74,66.67,0,0.6220835356,3.58332619162307,0.38080256428347,0.01520540194,0.02575490043,0.0110208002040391,1281916.24,0,1673608.31,1926909.13,0.263897392430951,3159.02060145616,710.803567584679
"Umbuzeiro",2011,100,23.5,100,0.24,0.85,66.46,63.04,12.5,42.86,0.4509228644,4.18796576167387,0.497811634211728,0.00676904116,0.009828574503,0.0147933941545519,1283763.98,0,1537434.64,2191934.36,0.214923712041534,3766.31611041405,861.108754705144
"Umbuzeiro",2012,100,27.97,100,0.35,0.87,NA,NA,12.5,28.57,0.4043016901,3.58248335702359,0.709593356387137,0.02252854237,0.02252854237,0.0136302817551472,1291614.31,0,2158069.555,2788363.875,0.250551805752383,3821.85796267496,821.01332192846
